topGenre,year,isHighEnergy,isDanceable,isLoud,isLively,isHighValence,isAcoustic,isSpeechy,isPopular
adult standards,2004,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
album rock,2000,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
alternative hip hop,2001,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
alternative metal,2007,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
classic rock,2002,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
alternative pop rock,2004,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
pop,2002,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
modern rock,2006,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
modern rock,2004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
detroit hip hop,2002,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
alternative rock,2003,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
dutch indie,2000,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
garage rock,2007,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
dutch cabaret,2006,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
permanent wave,2005,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
alternative rock,2005,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
classic uk pop,2004,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
dance pop,2002,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
permanent wave,2005,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
modern folk rock,2009,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
dutch pop,2006,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
modern rock,2004,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
detroit hip hop,2002,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
afropop,2004,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
permanent wave,2002,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
british soul,2008,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
adult standards,2002,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
british soul,2006,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
classic uk pop,2009,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
alternative rock,2007,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
irish rock,2006,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
alternative metal,2002,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
disco,2003,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
big room,2009,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
alternative rock,2004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
modern rock,2004,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
alternative metal,2003,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
dance pop,2002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
irish rock,2004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
adult standards,2009,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
danish pop rock,2005,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
dutch pop,2000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
neo mellow,2005,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
alternative metal,2008,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
britpop,2009,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
boy band,2001,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
album rock,2008,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
carnaval limburg,2005,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
arkansas country,2000,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
dutch cabaret,2008,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
latin alternative,2001,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
alternative metal,2000,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
british soul,2004,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
dance pop,2001,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
album rock,2002,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
danish pop rock,2004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
british soul,2008,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
alternative metal,2002,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
british folk,2008,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
celtic,2008,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
pop,2003,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
chanson,2004,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
alternative metal,2007,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
dutch cabaret,2006,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
britpop,2009,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
dutch indie,2002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
dutch pop,2001,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
celtic,2000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
boy band,2004,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
alternative metal,2005,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
dutch pop,2006,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
dutch indie,2007,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
dutch indie,2007,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
alternative metal,2002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
dutch indie,2007,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
celtic rock,2003,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
dutch cabaret,2006,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
dutch pop,2002,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
carnaval limburg,2008,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
modern rock,2009,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
dance pop,2007,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
carnaval limburg,2005,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
dutch cabaret,2002,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
alternative rock,2002,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
alternative metal,2000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
german pop,2008,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
dutch indie,2004,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
classic rock,2003,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
dutch cabaret,2003,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
hip pop,2009,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
east coast hip hop,2004,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
classic uk pop,2007,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
neo mellow,2006,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
modern rock,2004,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
detroit hip hop,2005,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
blues rock,2007,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
electro,2001,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
modern rock,2008,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
alternative dance,2009,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
dance pop,2008,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
australian pop,2008,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
dutch pop,2009,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
album rock,2004,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
adult standards,2001,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
alternative metal,2005,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
neo mellow,2003,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
belgian rock,2006,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
alternative dance,2009,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
downtempo,2001,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
british soul,2006,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
british soul,2006,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
adult standards,2005,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
alternative metal,2001,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
album rock,2000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
dutch rock,2008,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
adult standards,2002,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
dutch indie,2005,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
dutch pop,2003,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
british invasion,2000,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
irish rock,2006,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
canadian pop,2007,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
dutch cabaret,2008,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
album rock,2008,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
permanent wave,2002,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
neo mellow,2009,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
classic rock,2005,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
alternative rock,2004,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
disco,2008,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
dutch indie,2004,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
album rock,2001,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
album rock,2009,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
dutch cabaret,2006,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
modern rock,2009,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
alternative metal,2003,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
dutch indie,2005,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
adult standards,2007,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
dutch cabaret,2002,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
bow pop,2001,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
dutch indie,2009,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
celtic rock,2008,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
neo mellow,2008,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
dance pop,2008,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
dutch metal,2003,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
album rock,2008,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
album rock,2004,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
dutch pop,2007,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
soft rock,2004,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
acoustic pop,2003,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
acid jazz,2006,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
dutch cabaret,2008,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
alternative metal,2002,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
dutch prog,2008,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
modern rock,2001,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
alternative dance,2009,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
dutch cabaret,2008,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
candy pop,2006,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
detroit hip hop,2000,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
irish rock,2000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
chanson,2004,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
dutch indie,2008,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
modern rock,2006,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
britpop,2005,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
operatic pop,2006,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
trance,2004,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
dutch cabaret,2000,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
modern rock,2006,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
dutch pop,2007,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
dutch cabaret,2008,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
album rock,2008,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
album rock,2008,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
dutch rock,2008,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
permanent wave,2007,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
